house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
103,Moreton_Bay_Mixed,R2,6,52.567471,1,11.672505,5.849985,1.995305,147.099649,170.385222,1.158298,11.617576,14.66616,1.262411,6,0,0.297466,0.193606,0.32582,0.183108
104,Moreton_Bay_Mixed,R2,6,51.258465,1,11.327695,5.758459,1.96714,141.574386,162.608163,1.14857,11.547247,14.081985,1.21951,6,0,0.271386,0.22107,0.294738,0.214085
105,Moreton_Bay_Mixed,R2,10,63.937864,0.9,10.024622,2.938725,3.411215,179.312489,254.953263,1.421838,15.242919,16.726013,1.097297,7,0.138492,0.160447,0.265744,0.166202,0.269114
106,Moreton_Bay_Mixed,R2,6,51.255756,1,11.345675,5.739577,1.976744,139.743861,161.631454,1.156627,11.212197,14.415681,1.285714,6,0,0.309696,0.196269,0.300474,0.193561
107,Moreton_Bay_Mixed,R2,6,50.054449,1,11.456907,5.227909,2.191489,142.371797,152.447039,1.070767,14.54916,10.478065,1.388535,6,0,0.185824,0.311704,0.198686,0.303786
108,Moreton_Bay_Mixed,R2,6,55.53366,1,12.249264,6.261956,1.95614,159.020776,192.258725,1.209016,14.583765,13.183065,1.10625,6,0,0.214366,0.288383,0.221634,0.276578
109,Moreton_Bay_Mixed,R2,10,59.187315,0.9,11.438219,1.448444,7.896903,172.81292,215.069424,1.244522,16.765767,12.827891,1.306978,7,0.126487,0.194036,0.24043,0.187458,0.251588
110,Moreton_Bay_Mixed,R2,6,53.391412,1,11.901836,5.895302,2.018868,150.117529,177.804398,1.184435,12.7472,13.948506,1.094241,6,0,0.273913,0.208401,0.28934,0.228346
111,Moreton_Bay_Mixed,R2,6,51.413953,1,11.397858,5.740126,1.985646,144.323031,163.881554,1.135519,11.69997,14.007006,1.197183,6,0,0.270395,0.209571,0.28625,0.233784
112,Moreton_Bay_Mixed,R2,6,52.323584,1,11.479154,5.962041,1.925373,146.968459,170.357093,1.159141,12.213286,13.948506,1.142077,6,0,0.259274,0.224358,0.308895,0.207473
113,Moreton_Bay_Mixed,R2,6,52.64983,1,11.601525,5.948418,1.950355,150.376636,172.349276,1.146117,12.213242,14.111673,1.15544,6,0,0.269307,0.220724,0.292647,0.217322
114,Moreton_Bay_Mixed,R2,6,51.131085,1,11.369495,5.6742,2.003717,144.057549,158.209419,1.098238,15.060889,10.504654,1.433735,6,0,0.183887,0.318169,0.181702,0.314389
115,Moreton_Bay_Mixed,R2,6,54.374824,1,12.083294,6.041647,2,154.100567,184.56912,1.197719,13.124958,14.062455,1.071429,6,0,0.265386,0.210403,0.299704,0.22461
116,Moreton_Bay_Mixed,R2,6,52.65608,0.833333,11.536421,6.015606,1.917749,149.449718,172.008166,1.150943,12.031211,14.296829,1.188312,6,0,0.273486,0.220552,0.293157,0.212805
117,Moreton_Bay_Mixed,R2,8,60.861583,1,12.877963,2.721746,4.731508,203.328581,221.624039,1.08998,18.359316,12.071476,1.520884,7,0.107704,0.15931,0.287314,0.184237,0.261435
118,Moreton_Bay_Mixed,R2,10,70.147787,0.9,12.362708,1.926656,6.416667,237.163606,304.552943,1.284147,19.266558,15.807335,1.218837,8,0,0.216201,0.291011,0.205416,0.287371
119,Moreton_Bay_Mixed,R2,10,67.789742,0.9,11.31631,1.949701,5.804125,242.767132,287.092097,1.182582,17.298818,16.596053,1.042345,7,0.152547,0.170781,0.193698,0.242318,0.239993
120,Moreton_Bay_Mixed,R2,8,69.94275,0.75,12.280025,6.073273,2.021978,218.880381,298.974539,1.365927,14.882856,20.088519,1.349776,8,0,0.287414,0.219667,0.302131,0.191242
121,Moreton_Bay_Mixed,R2,8,69.519623,0.75,12.127192,6.090625,1.991124,215.269393,295.742266,1.373824,14.866171,19.89364,1.338182,8,0,0.276635,0.21559,0.319304,0.188471
122,Moreton_Bay_Mixed,R2,10,69.046302,0.9,12.2218,2.378279,5.138926,229.696694,292.447788,1.273191,14.913342,19.609809,1.314917,9,0.047501,0.27235,0.192915,0.283904,0.203551
123,Moreton_Bay_Mixed,R2,12,70.051864,0.916667,12.25331,0.86355,14.189466,275.848717,305.19456,1.106384,18.741551,16.284381,1.150891,9,0.188532,0.171753,0.238012,0.174097,0.22611
124,Moreton_Bay_Mixed,R2,8,79.820162,1,15.749835,4.138466,3.805718,318.637109,375.75037,1.179242,24.693528,15.216553,1.622807,8,0,0.155999,0.340491,0.159164,0.344346
125,Moreton_Bay_Mixed,R2,12,69.64673,0.916667,12.347963,1.08324,11.3991,249.941696,289.222047,1.157158,13.67743,21.145935,1.546046,9,0.095587,0.303946,0.1361,0.326676,0.13639
126,Moreton_Bay_Mixed,R2,6,71.03327,1,15.803191,7.874566,2.006865,241.275425,312.639319,1.295778,16.109524,19.407111,1.204698,6,0,0.28739,0.204681,0.305993,0.201988
127,Moreton_Bay_Mixed,R2,10,68.391188,0.9,12.925171,0.819958,15.763221,227.738274,292.331722,1.28363,17.151991,17.043603,1.006359,7,0,0.291615,0.240339,0.295035,0.17243
128,Moreton_Bay_Mixed,R2,8,73.495586,1,14.089401,5.135902,2.743316,252.244533,316.310408,1.253983,13.759824,22.987969,1.670659,6,0,0.391809,0.104185,0.305869,0.198137
129,Moreton_Bay_Mixed,R2,8,60.762097,1,13.640838,1.743029,7.825939,225.270848,230.678968,1.024007,15.460818,14.92023,1.036232,7,0.144806,0.21837,0.1975,0.237954,0.202509
130,Moreton_Bay_Mixed,R2,10,65.747154,0.9,13.103142,2.012573,6.510643,200.009316,251.761841,1.258751,20.727031,12.146546,1.706414,7,0.094384,0.179434,0.213522,0.175158,0.326592
131,Moreton_Bay_Mixed,R2,8,67.406658,1,12.146546,4.938706,2.459459,200.101771,283.888402,1.41872,16.551338,17.151991,1.03629,8,0,0.251395,0.247678,0.263887,0.237041
132,Moreton_Bay_Mixed,R2,10,70.610143,0.9,12.302271,2.380367,5.168224,221.103603,290.712128,1.314823,13.080896,22.224175,1.69898,8,0.09404,0.32727,0.141099,0.354006,0.083017
133,Moreton_Bay_Mixed,R2,8,42.386398,1,8.5782,2.39021,3.588889,94.166268,109.874136,1.16681,12.150236,9.042963,1.343612,7,0,0.221614,0.288868,0.176932,0.317119
134,Moreton_Bay_Mixed,R2,8,42.88608,1,8.573937,2.393489,3.582192,94.913664,112.774074,1.188175,12.196959,9.246082,1.319149,7,0,0.223358,0.27803,0.184573,0.314833
